Mount Vesuvius,Italy,1944,Europe
Mount Thera,Aegean Islands,1610,Europe
Laki,"Laki, Iceland",1783,Europe
Changbaishan,Tianchi Lake,1000,Asia
Aira Caldera,"Kagoshima, Japan",Unknown,Asia
Mount Pinatubo,"Luzon, Philippines",1991,Asia
Lake Toba,"North Sumatra, Indonesia",Unknown,Asia
Krakatoa,"Krakatoa, Indonesia",1883,Asia
Mount Rinjani,"Lombok Island, West Nusa Tenggara",1257,Asia
Mount Tambora,"Sumbawa Island, West Nusa Tenggara",1815,Asia
Novarupta,"Alaska, United States",1912,North America
Long Valley Caldera,East Central California,Unknown,North America
Bruneau-Jarbridge Caldera,"Idaho, United States",Unknown,North America
Yellowstone Caldera,Yellowstone National Park,Unknown,North America
Huckleberry Ridge Eruption,"Idaho, United States",Unknown,North America
Lava Creek Eruption,"Idaho, United States",Unknown,North America
La Garita Caldera,"Colorado, United States",Unknown,North America
Valles Caldera,New Mexico,1600,North America
Huanynaputina,Peru,Unknown,South America
Atana Ignimbrite,"Antofagasta, Chile",Unknown,South America
Cerro Galana,"Catamarca, Argentina",Unknown,South America
Ambrym Island,Republic of Vanuatu,50,Australia (or Oceania)
Mangakino Caldera,New Zealand,Unknown,Australia (or Oceania)
Taupo Caldera,New Zealand,Unknown,Australia (or Oceania)
